Textbox3,ExecutionTime
8/21/2023 5:00:04 AM,8/24/2023 5:38:47 PM

MandantenName,FilialKennung,GeraeteName,GeraeteBaujahr,GeraeteSeriennummer,GeraeteIPAdresse,GeraeteFirmware,GeraeteLastConnectionDatum,Textbox15
KRA,1357,1357_KRA_Krakow_2_E3L_WTouch,2021,10438787,197.71.106.200:8323/https://wiesheu-bottom.local,"21.8.0-1146 , 21.3.1",8/24/2023 9:13:56 AM,Verbindung ok
KAT,1990,1990_KAT_Opole_3_E3S_WTouch,2020,10435280,197.87.34.201:8323/https://wiesheu-top.local,"21.8.0-1146 , 21.3.1",8/24/2023 7:03:33 AM,Verbindung ok
SZC,1292,1292_SZC_Stargard _4_E3L_WTouch,2021,10441636,197.69.234.201:8323/https://wiesheu-bottom.local,"20.4.0-653 , 19.2.17",,Keine Verbindung
GDA,1852,1852_GDA_Gdansk_1_E64S_IS600e,2017,10361497,197.83.154.200,"19.01.3856 , 19.1.3856",8/24/2023 11:32:27 AM,Verbindung ok
GDA,1658,1658_GDA_Gdansk_4_E3L_WTouch,2021,10443025,197.78.242.201:8323/https://wiesheu-bottom.local,"21.8.0-1146 , 21.3.1",8/24/2023 9:17:24 AM,Verbindung ok
WRO,1032,1032_WRO_Zagan_2_E64L_IS600e,2018,10372736,197.64.162.201,"19.01.3856 , 19.1.3856",8/24/2023 12:17:05 PM,Verbindung ok
KAT,1404,1404_KAT_Jastrzebie Zdroj_1_E3S_WTouch,2021,10442770,197.72.106.200:8323/https://wiesheu-top.local,"21.8.0-1146 , 21.3.1",8/24/2023 7:03:33 AM,Verbindung ok
GDA,1496,1496_GDA_Gdynia_4_E64L_IS600e,2016,10335722,197.74.178.203,"19.01.3856 , 19.1.3856",,Keine Verbindung
KRA,1653,1653_KRA_Krakow _2_E3L_WTouch,2021,10458254,197.78.210.200:8323/https://wiesheu-bottom.local,"21.8.0-1146 , 21.1.0",8/24/2023 9:17:24 AM,Verbindung ok
SZC,1978,1978_SZC_Gorzow Wlkp._1_E64S_IS600e,2020,10424219,197.87.26.200,"19.01.3856 , 19.1.3856",8/24/2023 11:32:27 AM,Verbindung ok
KRA,1424,1424_KRA_JarosLaw_4_E64L_IS600e,2015,10396744,197.72.226.203,"19.01.3856 , 19.1.3856",8/24/2023 12:17:07 PM,Verbindung ok
SZC,2128,2128_SZC_Koszalin (Stare Bielice)_1_E3S_WTouch,2023,10493827,197.91.66.200:8323/https://wiesheu-top.local,"21.8.0-1146 , 21.3.1",8/24/2023 7:03:33 AM,Verbindung ok
BYD,1401,1401_BYD_Kruszwica _3_E64S_IS600e,2017,10347275,197.72.90.202,"19.01.3856 , 19.1.3856",8/24/2023 11:32:27 AM,Verbindung ok
POZ,1780,1780_POZ_Poznan_1_E64S_IS600e,2017,10400052,197.81.242.200,"22.01.3879 , 22.1.3879",8/24/2023 11:32:27 AM,Verbindung ok
WRO,1941,1941_WRO_WrocLaw_5_E3S_WTouch,2021,10441146,197.67.66.202:8323/https://wiesheu-top.local,"21.8.0-1146 , 21.3.1",,Keine Verbindung
KRA,1798,1798_KRA_Tarnow_3_E3L_WTouch,2023,10492805,197.89.210.201:8323/https://wiesheu-top.local,"21.8.0-1146 , 20.0.1",8/24/2023 7:03:33 AM,Verbindung ok
